Title,Stars,DateTime
Perfect 10 review – teenage backflips,4 out of 5 stars.,2020-08-09T10:00:34+0000
An American Pickle review – sweet generational comedy lacks a little bite,3 out of 5 stars.,2020-08-09T07:00:32+0000
,,
Papicha review – female friendship and resistance in 90s Algeria,4 out of 5 stars.,2020-08-08T14:00:10+0000
Anne Teresa De Keersmaeker review – stunning trio of dance films,4 out of 5 stars.,2020-08-07T19:00:47+0000
"Giraffe review – an erotic tale of love, location and loyalty",3 out of 5 stars.,2020-08-07T08:00:31+0000
Perfect 10 review – teen drama marks the arrival of a special talent,4 out of 5 stars.,2020-08-07T06:00:29+0000
Work It review – engaging Netflix teen comedy dances to a familiar beat,3 out of 5 stars.,2020-08-07T05:28:28+0000
I Saw the World End review – how a bomb changed life on Earth in a flash,5 out of 5 stars.,2020-08-06T16:41:22+0000
Life With Music review – sparks don't fly between Patrick Stewart and Katie Holmes,2 out of 5 stars.,2020-08-06T12:00:02+0000
Sheep and Wolves: Pig Deal review – animated fable is shorn of excitement,2 out of 5 stars.,2020-08-06T10:00:06+0000
"Endings, Beginnings review – seriously middling",2 out of 5 stars.,2020-08-06T06:00:01+0000
Casting review – film-set furore is a meta-salute to Fassbinder,3 out of 5 stars.,2020-08-05T17:00:07+0000
Echo review – a mesmerising mosaic of Icelandic festivities,4 out of 5 stars.,2020-08-05T15:00:05+0000
Mortal review – angsty Norse gods leave you praying for the end,2 out of 5 stars.,2020-08-05T13:00:02+0000
Mortal review – angsty Norse gods leave you praying for the end,2 out of 5 stars.,2020-08-05T13:00:02+0000
Anelka: Misunderstood review – subtle portrait of an enigmatic talent,3 out of 5 stars.,2020-08-05T11:01:28+0000
Papicha review – repression and rebellion in war-torn Algeria,3 out of 5 stars.,2020-08-05T11:00:29+0000
An American Pickle review – Seth Rogen doubles up in zany time-slip comedy,3 out of 5 stars.,2020-08-03T16:00:07+0000
Howard review – the lyricist who made Disney's hits soar,4 out of 5 stars.,2020-08-03T16:00:07+0000
Boys State review – amazing study of teenagers running for pretend office,5 out of 5 stars.,2020-08-03T07:00:35+0000
Antkind by Charlie Kaufman review – absurdism ad infinitum,Published: ,2020-08-02T10:00:09+0000
Make Up review – an eerie erotic awakening in a caravan park,4 out of 5 stars.,2020-08-02T10:00:09+0000
Summerland review – wartime wonderment with Gemma Arterton,4 out of 5 stars.,2020-08-02T07:00:06+0000
Unhinged review – darkly funny tale of road rage,4 out of 5 stars.,2020-08-01T14:00:45+0000
Inception review – the virtual reinvention of virtual reality,4 out of 5 stars.,2020-07-31T12:00:13+0000
Inception review – the virtual reinvention of virtual reality,4 out of 5 stars.,2020-07-31T12:00:13+0000
Black Is King review – Beyoncé’s love song to the black diaspora,4 out of 5 stars.,2020-07-31T11:43:32+0000
Flash Gordon review – bizarre expressionist superhero panto,4 out of 5 stars.,2020-07-31T10:00:11+0000
Proxima review – Mars mission limps off in a cloud of sentiment,2 out of 5 stars.,2020-07-31T08:00:08+0000
Host review – surprisingly effective Zoom-based horror,3 out of 5 stars.,2020-07-31T06:35:06+0000
The Fight review – a walk-and-talk with the activists tackling Trump,4 out of 5 stars.,2020-07-31T06:00:06+0000
,,
The Secret: Dare to Dream review – hokey wish-fulfillment soap,2 out of 5 stars.,2020-07-30T19:00:52+0000
Shakuntala Devi review – spirited biopic of a mathematical genius,3 out of 5 stars.,2020-07-30T18:30:51+0000
Make Up review – wintry chills in a spooky seaside thriller,4 out of 5 stars.,2020-07-30T12:00:43+0000
The Vigil review – malevolent dybbuk seeks new host scarily,3 out of 5 stars.,2020-07-30T10:00:10+0000
Around the Sun review – madly meta multiple worlds romance,4 out of 5 stars.,2020-07-30T08:50:31+0000
Around the Sun review – madly meta multiple worlds romance,4 out of 5 stars.,2020-07-30T08:50:31+0000
