Title,Stars,DateTime
The Umbrella Academy review – fatuous fisticuffs and inscrutable nonsense,2 out of 5 stars.,2020-07-31T07:00:07+0000
Great Continental Railway Journeys review: potent stuff – and that's just Portillo's trousers,3 out of 5 stars.,2020-07-29T20:00:07+0000
Prodigal Son review – where's Hannibal Lecter when you need him?,3 out of 5 stars.,2020-07-28T21:00:12+0000
Anthony review – reimagining a life cut short by hate,5 out of 5 stars.,2020-07-27T21:00:04+0000
"A Suitable Boy review – a very British, Indian period drama",3 out of 5 stars.,2020-07-26T21:00:34+0000
Miriam Margolyes: Almost Australian review – blunt questions cut to the dark truth of the Australian dream,4 out of 5 stars.,2020-07-24T21:00:36+0000
Love on the Spectrum review – a dating show that celebrates autism,4 out of 5 stars.,2020-07-22T14:00:14+0000
The Rise of the Murdoch Dynasty review – Succession with phone hacking and foam pies,4 out of 5 stars.,2020-07-21T21:00:05+0000
"Enterprice review – a young, black Only Fools and Horses – but weirder",4 out of 5 stars.,2020-07-20T22:15:25+0000
The Young Offenders review – who brings a baby to a robbery?,3 out of 5 stars.,2020-07-19T13:00:51+0000
Celebrity Snoop Dogs review – canine Through The Keyhole is a dog's dinner,1 out of 5 stars.,2020-07-17T20:00:01+0000
Paul O’Grady: For the Love of Dogs review – puppy love blooms in lockdown,3 out of 5 stars.,2020-07-15T20:00:12+0000
The Plot Against America review – fascism grips in taut political allegory,4 out of 5 stars.,2020-07-14T22:20:27+0000
"Once Upon a Time in Iraq review – a gripping, harrowing masterpiece",5 out of 5 stars.,2020-07-13T21:00:31+0000
Imagine: This House Is Full of Music review – is this Britain’s most talented family?,3 out of 5 stars.,2020-07-12T18:00:21+0000
Little Voice review – Apple's music comedy hits a bum note,1 out of 5 stars.,2020-07-10T10:56:23+0000
There She Goes review – sensitive parenting comedy with a spiky edge,4 out of 5 stars.,2020-07-09T21:00:23+0000
P-Valley review – strip club drama is one of the year's best new shows,4 out of 5 stars.,2020-07-09T13:41:05+0000
,,
Mrs America review – Cate Blanchett fights off feminism,4 out of 5 stars.,2020-07-08T21:30:43+0000
"Stateless review – harrowing, hypnotic refugee drama",4 out of 5 stars.,2020-07-08T05:00:02+0000
"The Secrets She Keeps review – yummy mummy thriller is a guilty, predictable pleasure",3 out of 5 stars.,2020-07-06T20:45:12+0000
The Kemps: All True review – Spandau chart-toppers have the last laugh,3 out of 5 stars.,2020-07-05T22:00:54+0000
Celebrity MasterChef review – anyone for a giant lasagne?,3 out of 5 stars.,2020-07-03T20:00:53+0000
"The Baby-Sitters Club review – tween drama is good, old fashioned fun",4 out of 5 stars.,2020-07-03T08:00:16+0000
,,
Welcome to Chechnya review – harrowing tales of the 'gay purge',5 out of 5 stars.,2020-07-01T22:40:34+0000
Ju-On: Origins review – Netflix's gory but scare-free Grudge TV show,2 out of 5 stars.,2020-07-01T12:42:03+0000
Insecure season four review – is this the end of a great screen friendship?,4 out of 5 stars.,2020-06-30T20:35:03+0000
Italy's Frontline: A Doctor's Diary review – a superhero more Beckett than Marvel,4 out of 5 stars.,2020-06-29T21:00:47+0000
A Killer Uncaged review – life after death row,3 out of 5 stars.,2020-06-28T20:45:14+0000
"Dark season three review – a thrilling, brain-scrambling sci-fi finale",4 out of 5 stars.,2020-06-27T05:00:01+0000
Athlete A review – the scandal that rocked the sporting world,4 out of 5 stars.,2020-06-24T12:47:21+0000
